uniprot_id,ec,organism
B1Q4S7,unknown,Pleurotus ostreatus
F7YXD6,3.2.1.8,Pseudothermotoga thermarum DSM 5069
S5R9V1,unknown,Cerrena unicolor
A0A089FQH5,3.5.3.3,Glutamicibacter nicotianae
C5J3R6,1.1.1.307,Talaromyces emersonii
Q9Y8D9,1.15.1.1,Aspergillus fumigatus
E9KLD9,2.7.7.7,Thermococcus celer
A7LVG6,unknown,unknown
D1MX70,1.5.1.3,Photobacterium profundum
Q8X268,unknown,Thermococcus kodakarensis
Q1W622,3.1.3.1,Cobetia marina
O15922,3.1.-.-,Leishmania major
Q1XIQ8,1.1.1.42,Colwellia psychrerythraea
Q2QFX1,3.1.1.3,Rhizopus oryzae
Q6KF36,3.1.2.6,Trypanosoma brucei brucei
Q5JGP4,1.8.1.18,Thermococcus kodakarensis
P15636,3.4.21.50,Achromobacter lyticus
P81535,3.4.13.9,Pyrococcus furiosus
P39107,unknown,Saccharomyces cerevisiae
L0AQH5,unknown,Bacillus thuringiensis YBT-1518
Q8GCB2,4.2.2.22,Bacillus licheniformis
Q8X1D1,unknown,Cyathus bulleri
D7G793,1.1.1.17,Ectocarpus siliculosus
B8IF02,2.7.1.90,Methylobacterium nodulans
O15918,4.3.2.2,Plasmodium falciparum
B3EY95,2.8.3.18,Acetobacter aceti
P9WKD7,5.3.1.6,Mycobacterium tuberculosis
V9SCJ1,1.1.1.1,Kluyveromyces marxianus
Q4Q0M0,2.7.9.3,Leishmania major
Q49610,2.3.1.101,Methanopyrus kandleri
P37251,2.2.1.6,Bacillus subtilis
Q8X1C8,1.1.1.37,Talaromyces emersonii
B3QYX9,unknown,Chloroherpeton thalassium
P17411,3.2.1.86,Escherichia coli
Q8GQP8,2.7.7.9,Streptococcus equi subsp. zooepidemicus
Q2Z1A8,unknown,Cupriavidus necator
Q93PS8,4.1.1.3,Comamonas testosteroni
B7UAM4,3.2.1.4,Bacillus subtilis
P27000,6.1.1.17,Thermus thermophilus
A1R2C3,1.4.3.-,Paenarthrobacter aurescens
Q6L285,1.2.1.89,Picrophilus torridus
Q8ILF7,unknown,Plasmodium falciparum
A7LCL1,unknown,Rhodococcus erythropolis
P95001,1.1.1.25,Mycobacterium tuberculosis
B2RKP0,unknown,Porphyromonas gingivalis
Q9HEM6,3.6.1.42,Kluyveromyces lactis
Q9YFT9,6.1.1.6,Aeropyrum pernix
G7DDC5,unknown,unknown
P54419,2.5.1.6,Bacillus subtilis
Q670W0,unknown,Pseudomonas fluorescens
A1JMA5,unknown,Yersinia enterocolitica serotype O:8 / biotype 1B
P95980,2.7.7.101,Saccharolobus solfataricus
Q96V00,4.1.1.35,Cryptococcus neoformans
P18209,4.2.2.2,Dickeya chrysanthemi
A0A059WLZ7,1.14.15.23,Rhizorhabdus wittichii
A9BHI9,2.4.1.266,Petrotoga mobilis
D9TT09,2.4.1.329,Thermoanaerobacterium thermosaccharolyticum
Q8GLS8,3.5.4.16,Nocardia iowensis
Q6U677,unknown,Obesumbacterium proteus
A3DD67,unknown,Acetivibrio thermocellus
A0A068CB13,unknown,Aspergillus niger
Q0H9W2,3.2.1.3,Thermochaetoides thermophila
B0R9W3,3.1.3.1,Halobacterium salinarum
P97224,1.8.5.2,Acidianus ambivalens
Q973W9,unknown,Sulfurisphaera tokodaii
P25576,2.7.7.1,Saccharomyces cerevisiae
O66753,unknown,Aquifex aeolicus
Q8P6Z9,unknown,Xanthomonas campestris pv. campestris
Q8RLK7,unknown,Mycoplasmopsis gallinarum
Q8KRD4,unknown,Delftia acidovorans
Q8IDD3,6.1.1.17,Plasmodium falciparum
Q000T0,3.1.3.26,Yersinia intermedia
A0A0K2GVV7,3.2.1.-,Lysobacter enzymogenes
Q97V26,unknown,Saccharolobus solfataricus
O50444,1.5.5.2,Mycobacterium tuberculosis
A0A0F6QU36,3.2.1.73,Bacillus pumilus
P0CW40,3.2.1.10,Saccharomyces cerevisiae
Q1W2L4,3.5.5.1,Acidovorax facilis
E3VWI3,1.14.19.8,Streptomyces arenae
A0A2D3HJ61,3.1.1.3,Rhizomucor miehei
Q6H8X0,unknown,Streptococcus suis
Q27783,unknown,Trypanosoma brucei brucei
Q9HKT1,6.3.1.20,Thermoplasma acidophilum
H6WET3,3.5.2.6,Escherichia coli
Q6H8Y4,unknown,Streptococcus suis
E8MGH8,3.2.1.185,Bifidobacterium longum subsp. longum
Q59468,1.1.1.34,Haloferax volcanii
A4YGC7,5.3.3.3,Metallosphaera sedula
O83522,unknown,Treponema pallidum
D4GP33,1.1.1.376,Haloferax volcanii
P60785,3.6.5.n1,Escherichia coli
P26281,2.7.6.3,Escherichia coli
Q46A53,unknown,Methanosarcina barkeri
A9P7F7,3.2.1.-,Bacillus thuringiensis subsp. thompsoni
F5B9B9,3.2.1.15,Saccharomyces paradoxus
F9VPH0,3.2.1.20,Sulfurisphaera tokodaii
Q8TGH6,3.6.1.42,Candida albicans
Q5SL15,5.4.99.16,Thermus thermophilus
I6QS85,unknown,Trametes versicolor
Q1EM71,3.2.1.14,Bacillus licheniformis
G4NAP4,1.13.11.-,Pyricularia oryzae
Q8U3L0,3.4.17.19,Pyrococcus furiosus
S0ENM8,unknown,Gibberella fujikuroi
P61502,1.15.1.1,Thermus thermophilus
P27514,unknown,Saccharomyces cerevisiae
O58453,unknown,Pyrococcus horikoshii
C8WJW0,1.1.1.-,Eggerthella lenta
Q8RJN8,3.2.1.4,Pseudoalteromonas haloplanktis
A3FFK4,3.2.1.23,Priestia megaterium
Q9HIC2,5.3.1.9,Thermoplasma acidophilum
R4WHQ8,3.2.1.96,Ogataea minuta
Q93J76,unknown,Streptomyces coelicolor
P54616,1.3.1.9,Bacillus subtilis
P31072,1.1.1.44,Trypanosoma brucei brucei
G5ADV1,unknown,Phytophthora sojae
Q58761,2.7.6.1,Methanocaldococcus jannaschii
Q1HEQ0,1.15.1.1,Thermochaetoides thermophila
O15920,3.1.3.16,Plasmodium falciparum
B9DIJ2,4.1.3.3,Staphylococcus carnosus
D4GYV5,2.8.1.7,Haloferax volcanii
P29465,2.4.1.16,Saccharomyces cerevisiae
K9L4P7,1.1.3.4,Penicillium chrysogenum
Q84HI6,unknown,Aromatoleum evansii
A2R6F5,3.2.1.78,Aspergillus niger
Q5W503,3.1.8.1,Pseudomonas oleovorans
Q6WUB6,3.2.1.1,alkaliphilic bacterium N10
E9LVH8,3.1.1.74,Thermobifida cellulosilytica
P0A9Q9,1.2.1.11,Escherichia coli
P19531,3.2.1.133,Geobacillus stearothermophilus
Q9HHC4,6.5.1.6,Thermococcus kodakarensis
Q8A8X4,unknown,Bacteroides thetaiotaomicron
A0A0E0UUX4,unknown,Listeria monocytogenes serotype 4a
P41903,3.1.2.2,Saccharomyces cerevisiae
P32021,1.13.12.19,Pseudomonas savastanoi pv. phaseolicola
D7UTZ8,unknown,Bacillus subtilis
A3FJ64,3.1.1.81,Bacillus thuringiensis
V9NFX1,1.2.7.1,Pseudothermotoga hypogea
Q19R72,3.2.1.23,Limosilactobacillus reuteri
A0A0P0IZM9,3.2.1.-,Cellulosimicrobium funkei
P06278,3.2.1.1,Bacillus licheniformis
P54471,2.1.1.217,Bacillus subtilis
Q9A1B7,5.1.1.3,Streptococcus pyogenes serotype M1
A8WEG5,1.6.2.2,Mucor racemosus
O31668,4.2.1.109,Bacillus subtilis
B5ARZ9,unknown,Thermotoga neapolitana
Q2YS20,3.5.1.24,Brucella abortus
G2QVH7,3.2.1.4,Thermothielavioides terrestris
Q9RHV9,6.1.1.6,Geobacillus stearothermophilus
I3QNT2,unknown,Bifidobacterium breve
Q56R01,1.1.1.3,Streptomyces clavuligerus
C4M7U9,6.1.1.2,Entamoeba histolytica
D3GGN3,unknown,Citrobacter braakii
Q5S3L3,unknown,Oenococcus oeni
Q1ET73,4.2.1.11,Leuconostoc mesenteroides
Q5YXQ1,5.2.1.1,Nocardia farcinica
A8NIX3,3.2.1.21,Coprinopsis cinerea
A3NS93,1.15.1.1,Burkholderia pseudomallei
O43097,3.2.1.8,Thermomyces lanuginosus
B0F411,2.4.1.7,Leuconostoc mesenteroides
C5NU54,3.5.2.19,Streptomyces noursei
Q0E9S8,2.6.1.42,Helicobacter pylori
B2DEW2,unknown,Ralstonia solanacearum
Q4UDC3,2.5.1.46,Theileria annulata
Q8NRR8,3.6.1.11,Corynebacterium glutamicum
K4L7X3,3.13.1.4,Advenella mimigardefordensis
Q96VT0,3.1.3.26,Agrocybe pediades
P0AC19,5.1.99.7,Escherichia coli
Q6RVB3,2.3.1.37,Rhodopseudomonas palustris
A5DNB9,2.4.1.173,Meyerozyma guilliermondii
P15565,2.1.1.216,Saccharomyces cerevisiae
P29082,1.13.11.55,Acidianus ambivalens
A0A0S2SWE4,1.13.11.60,Colletotrichum gloeosporioides
P25297,unknown,Saccharomyces cerevisiae
Q9X0S8,3.2.1.89,Thermotoga maritima
Q6H8X4,unknown,Streptococcus suis
Q9WYB7,unknown,Thermotoga maritima
Q5ECC3,1.1.5.4,Pseudomonas citronellolis
Q01532,3.4.22.40,Saccharomyces cerevisiae
E1XUJ2,4.2.1.127,Castellaniella defragrans
Q5FTU6,1.1.1.215,Gluconobacter oxydans
A9P7G1,3.2.1.-,Bacillus thuringiensis subsp. sotto
Q9KJ20,2.1.1.156,Actinopolyspora halophila
A1CRX0,unknown,Aspergillus clavatus
A5IKD4,3.2.1.99,Thermotoga petrophila
Q3T5M2,3.1.1.3,Geobacillus stearothermophilus
Q4J9M3,3.2.1.20,Sulfolobus acidocaldarius
C0LLG9,3.2.1.41,Thermotoga neapolitana
P21437,3.1.3.11,Escherichia coli
Q077R2,2.4.1.305,Escherichia coli
A0SWS3,3.2.1.23,Lactobacillus acidophilus
Q9YFY3,unknown,Aeropyrum pernix
A0A024FRL9,3.5.2.6,Escherichia coli
Q9FAF8,2.7.1.90,Porphyromonas gingivalis
Q9HJW5,unknown,Thermoplasma acidophilum
A1RDD3,1.4.3.-,Paenarthrobacter aurescens
U2ZU49,2.1.1.137,Pseudomonas alcaligenes
P29957,3.2.1.1,Pseudoalteromonas haloplanktis
A2RNG4,2.7.2.1,Lactococcus lactis subsp. cremoris
Q9I492,1.5.1.21,Pseudomonas aeruginosa
Q6ARU5,unknown,Desulfotalea psychrophila
P12625,3.1.1.75,Ralstonia pickettii
A3E7Z6,5.3.1.15,Cohnella laeviribosi
Q8IJ32,unknown,Plasmodium falciparum
P12047,4.3.2.2,Bacillus subtilis
A0A0M5MSC0,2.4.1.2,Gluconobacter oxydans
Q8CJQ1,3.2.1.8,Streptomyces coelicolor
Q973G3,unknown,Sulfurisphaera tokodaii
A0A075EKG1,3.2.1.21,Aspergillus niger
F8U971,unknown,Botryotinia fuckeliana
Q0ASS9,2.7.2.8,Maricaulis maris
B3VA58,2.4.1.153,Methanococcus voltae
O59089,unknown,Pyrococcus horikoshii
A2BIX4,unknown,Hyperthermus butylicus
Q21KE5,unknown,Saccharophagus degradans
F9VN39,unknown,Sulfurisphaera tokodaii
A6YM39,2.4.1.25,Borreliella burgdorferi
Q5V9R8,unknown,Vibrio fluvialis
B5MGR3,3.2.1.89,Penicillium chrysogenum
Q9X4N0,4.1.1.11,Corynebacterium glutamicum
A0A2C9ETQ7,3.4.21.53,Pseudomonas protegens
Q9L3Z9,unknown,Leuconostoc mesenteroides
Q96XN9,2.7.1.45,Sulfurisphaera tokodaii
B7SY86,2.4.1.266,Rubrobacter xylanophilus
Q76EB5,unknown,Plasmodium vivax
P29051,1.4.1.2,Halobacterium salinarum
Q5V9R9,unknown,Vibrio fluvialis
Q8NRQ7,3.5.1.115,Corynebacterium glutamicum
A6LKE9,2.4.1.14,Thermosipho melanesiensis
A3F8Z8,unknown,Polyporus brumalis
Q59VG6,1.14.19.20,Candida albicans
P40495,1.1.1.87,Saccharomyces cerevisiae
P32783,2.1.1.56,Saccharomyces cerevisiae
Q95PK9,2.7.2.3,Trypanosoma cruzi
A2BLE9,4.1.2.4,Hyperthermus butylicus
F9VPG1,4.1.2.55,Sulfurisphaera tokodaii
Q3MFY8,1.17.1.8,Trichormus variabilis
A5YRG4,unknown,Bacillus thuringiensis subsp. kurstaki
A0SXL5,2.7.7.7,Thermococcus thioreducens
Q5JI33,unknown,Thermococcus kodakarensis
P08303,unknown,Paracoccus denitrificans
G3GCC6,3.5.2.6,Klebsiella pneumoniae
A0A1S6XWY4,1.4.3.11,Streptomyces mobaraensis
P51697,4.5.1.-,Sphingobium indicum
A0A0K2X0F2,unknown,Corynebacterium striatum
A9ZPD1,2.4.1.18,Parachlorella kessleri
O52766,unknown,Paenibacillus macerans
Q7URP0,unknown,Rhodopirellula baltica
Q59034,2.1.1.257,Methanocaldococcus jannaschii
Q3HWU8,unknown,Pseudomonas putida
Q0PQY8,3.2.1.78,Phanerodontia chrysosporium
P54166,2.4.1.315,Bacillus subtilis
Q4U6L2,unknown,Streptococcus mitis
Q9L6D3,3.1.1.3,Geobacillus stearothermophilus
W8CQB2,1.2.7.1,Thermococcus guaymasensis
Q8NT99,3.6.1.11,Corynebacterium glutamicum
Q5NT93,unknown,Selenomonas ruminantium
X5IDD2,unknown,Pseudomonas aeruginosa
C4LUB5,unknown,Entamoeba histolytica
C9K504,unknown,Acetobacter pasteurianus
Q6IYF5,3.2.1.22,Limosilactobacillus fermentum
Q8TLW1,unknown,Methanosarcina acetivorans
Q5SM28,6.1.1.15,Thermus thermophilus
Q8KTX0,3.1.1.81,Bacillus thuringiensis subsp. galleriae
P26646,1.3.1.84,Escherichia coli
P95690,2.7.7.7,Sulfolobus acidocaldarius
Q9P6I7,3.5.4.2,Schizosaccharomyces pombe
B3VPB3,3.1.3.8,Aspergillus niger
A0A8W8,unknown,Priestia megaterium
Q0CQ16,unknown,Aspergillus terreus
I3DVX6,1.1.1.244,Bacillus methanolicus PB1
Q45477,6.1.1.5,Bacillus subtilis
B9K760,unknown,Thermotoga neapolitana
Q8CT69,6.1.1.2,Staphylococcus epidermidis
Q58097,2.6.1.108,Methanocaldococcus jannaschii
Q980D0,unknown,Saccharolobus solfataricus
Q9HZK1,2.4.2.44,Pseudomonas aeruginosa
A7LBQ5,1.13.11.1,Stenotrophomonas maltophilia
Q05567,4.1.2.-,Saccharomyces cerevisiae
C9QNK6,1.14.99.29,Plasmodium falciparum
Q9X839,unknown,Streptomyces coelicolor
P80656,2.1.1.86,Methanosarcina mazei
A9BHJ0,2.4.1.270,Petrotoga mobilis
Q8EJM6,3.1.4.52,Shewanella oneidensis
P0ADR6,2.1.1.186,Escherichia coli
Q0ZS23,unknown,Clostridium paradoxum
Q96VP5,2.7.1.-,Pichia angusta
Q3AEU2,4.3.1.2,Carboxydothermus hydrogenoformans
O06543,5.1.99.4,Mycobacterium tuberculosis
Q4CVA1,1.5.5.2,Trypanosoma cruzi
P75785,2.7.-.-,Escherichia coli
Q6H8Y3,unknown,Streptococcus suis
A7J1X4,unknown,Thermococcus onnurineus
Q97U96,4.2.1.5,Saccharolobus solfataricus
P37093,7.4.2.8,Vibrio cholerae serotype O1
A0A1K3RIC7,unknown,unknown
A3GF05,1.1.1.184,Scheffersomyces stipitis
G0L2Y1,4.2.2.3,Zobellia galactanivorans
Q949J1,3.6.1.1,Chlamydomonas reinhardtii
O07883,3.4.19.3,Thermococcus litoralis
Q97ZD0,3.2.1.3,Saccharolobus solfataricus
B9WZX7,2.5.1.110,Aspergillus fumigatus
Q88FY2,1.14.13.114,Pseudomonas putida
Q8KTX6,4.1.1.1,Zymobacter palmae
P0CD66,3.2.1.20,Saccharolobus solfataricus
A7L6C9,unknown,Paracoccidioides brasiliensis
C5J048,5.1.3.13,Streptomyces peucetius subsp. caesius ATCC 27952
P62378,3.1.26.5,Methanococcus maripaludis
A0A144KZK6,1.10.3.2,Trametes versicolor
Q66WM4,5.3.1.8,Aspergillus fumigatus
A1IJT7,1.4.7.1,Hydrogenobacter thermophilus
Q8KI79,3.1.1.81,Bacillus thuringiensis subsp. alesti
Q2HQS1,1.2.1.9,Bacillus cereus
K0J3J2,unknown,Streptomyces albidoflavus
P9WMP9,5.6.2.4,Mycobacterium tuberculosis
O59565,unknown,Pyrococcus horikoshii
P65907,3.5.2.3,Staphylococcus aureus
Q9HUG8,7.5.2.6,Pseudomonas aeruginosa
Q4DZJ3,unknown,Trypanosoma cruzi
U3T1K4,unknown,Tetrahymena pyriformis
K4HXK6,4.1.1.15,Levilactobacillus brevis
Q8THU2,2.4.2.48,Methanosarcina acetivorans
D3GE78,unknown,Penicillium chrysogenum
Q47898,3.5.1.26,Elizabethkingia miricola
A0A143G976,1.11.1.6,Bacillus pumilus
Q0VTB0,1.18.1.1,Alcanivorax borkumensis
F8WSQ1,unknown,Chitiniphilus shinanonensis
Q81K34,5.1.3.2,Bacillus anthracis
A2I9X8,unknown,Lactiplantibacillus plantarum
Q6TA03,3.2.1.15,Kluyveromyces marxianus
Q643C8,2.1.1.281,Streptomyces hygroscopicus
J7HET3,1.15.1.1,Yersinia enterocolitica
W8CXQ9,1.1.1.27,Heyndrickxia coagulans
S4TYB2,3.1.1.-,Alicyclobacillus sp. D-1
P95949,3.6.4.-,Saccharolobus solfataricus
P00962,6.1.1.18,Escherichia coli
Q9PER7,1.11.1.24,Xylella fastidiosa
G5D5D5,unknown,Leishmania donovani
D5G304,unknown,Candida parapsilosis
B3Y006,unknown,Staphylococcus epidermidis
B0BK99,unknown,Pseudarthrobacter phenanthrenivorans
P56744,2.6.1.76,Acinetobacter baumannii
A0ZSY5,1.18.1.2,Cyanidium caldarium
Q83YY8,unknown,Alcaligenes xylosoxydans xylosoxydans
Q0VZ68,5.4.3.6,Chondromyces crocatus
Q6KZT2,2.3.2.2,Picrophilus torridus
B0FSQ0,3.1.1.117,Phanerodontia chrysosporium
Q9CFI2,3.2.1.52,Lactococcus lactis subsp. lactis
P07788,1.10.3.2,Bacillus subtilis
Q1ACW3,unknown,Tuber borchii
Q4KCL8,unknown,Pseudomonas fluorescens
B0BK98,unknown,Pseudarthrobacter phenanthrenivorans
Q9AFG9,2.7.7.43,Streptococcus agalactiae serotype V
A0R043,2.4.1.346,Mycolicibacterium smegmatis
Q60FX6,4.1.1.103,Rhizobium radiobacter
Q84EK3,3.1.1.3,Staphylococcus simulans
C7IV28,unknown,unknown
I3RJK8,2.8.1.5,Phanerodontia chrysosporium
Q96UI5,3.2.1.4,Thermoascus aurantiacus
O93838,3.1.3.8,Aspergillus niger
Q8DRB3,2.5.1.-,Streptococcus pneumoniae
S5YEW8,unknown,Pectobacterium carotovorum
O54435,2.4.1.10,Rahnella aquatilis
Q58439,unknown,Methanocaldococcus jannaschii
O66937,2.4.1.25,Aquifex aeolicus
B6E8Y7,unknown,Irpex lacteus
A3FJ51,1.1.2.7,Methylophaga aminisulfidivorans MP
C0STU2,unknown,Bacillus subtilis
P96155,3.2.1.52,Vibrio furnissii
P9WGP5,7.4.2.8,Mycobacterium tuberculosis
Q86LS9,2.1.2.1,Leishmania donovani
P39535,unknown,Saccharomyces cerevisiae
C1KKR1,5.1.3.31,Cereibacter sphaeroides
C7F6Y1,3.1.1.-,Aspergillus awamori
A9P7G0,3.2.1.-,Bacillus thuringiensis subsp. israelensis
Q0CFW4,unknown,Aspergillus terreus
Q9HKT2,6.3.1.20,Thermoplasma acidophilum
A0A0T6DN91,1.11.1.6,Psychrobacter piscatorii
Q6KBS7,3.1.1.32,Trypanosoma brucei
A0A140JW77,1.1.1.8,Wickerhamiella versatilis
F7J1C8,3.2.1.181,Flammulina velutipes
Q8U4Q8,2.4.2.28,Pyrococcus furiosus
A7E8M5,unknown,Sclerotinia sclerotiorum
Q5U921,unknown,Clostridioides difficile
Q9HIW6,unknown,Thermoplasma acidophilum
V9PQZ7,unknown,Ganoderma lucidum
C1L335,4.2.1.1,Sordaria macrospora
Q97VS7,3.2.1.4,Saccharolobus solfataricus
P50455,1.1.1.85,Sulfurisphaera tokodaii
D8X179,unknown,Lysinibacillus fusiformis
Q9UR30,3.3.2.3,Aspergillus niger
A8WEG4,unknown,Geobacillus thermodenitrificans
Q7S2S4,unknown,Neurospora crassa
C0H3U9,unknown,Bacillus subtilis
E7FHX6,1.17.4.1,Pyrococcus furiosus
Q6CUV2,2.4.1.-,Kluyveromyces lactis
B0B552,1.15.1.1,Kluyveromyces marxianus
A5HMH9,unknown,Alcaligenes faecalis
Q4U3E8,2.7.7.13,Aspergillus fumigatus
C4M1C3,2.7.2.1,Entamoeba histolytica
P24215,4.2.1.8,Escherichia coli
Q837U7,2.1.3.6,Enterococcus faecalis
Q6W3D0,unknown,Toxoplasma gondii
J7I0S9,3.5.2.6,Escherichia coli
C4B6T1,unknown,Cyberlindnera fabianii
Q4K657,unknown,Pseudomonas fluorescens
F4NCC2,5.4.2.8,Trypanosoma brucei
P40884,3.2.1.10,Saccharomyces cerevisiae
Q9PF60,3.2.1.4,Xylella fastidiosa
P16027,1.1.2.7,Methylorubrum extorquens
B6YTG7,unknown,Thermococcus onnurineus
O07683,6.1.1.23,Halobacterium salinarum
S5FMM4,1.4.3.19,Bacillus licheniformis
Q52TE7,unknown,Rhodococcus ruber
P9WQN9,2.3.1.122,Mycobacterium tuberculosis
Q75NT4,unknown,Burkholderia cepacia
P9WI71,2.7.11.1,Mycobacterium tuberculosis
B3XPZ2,3.5.1.5,Limosilactobacillus reuteri subsp. rodentium
P08017,3.2.1.3,Saccharomycopsis fibuligera
Q8FRJ4,3.13.2.1,Corynebacterium efficiens
Q9AT27,unknown,Phytophthora infestans
B3PBD9,3.2.1.-,Cellvibrio japonicus
O58231,2.7.1.165,Pyrococcus horikoshii
P07271,3.6.4.12,Saccharomyces cerevisiae
P53629,2.3.1.-,Saccharomyces cerevisiae
A3LY17,unknown,Scheffersomyces stipitis
B5MGR1,3.2.1.55,Penicillium chrysogenum
W0PAN5,6.2.1.5,Advenella mimigardefordensis
G5D7B5,3.2.1.22,Aspergillus niger
Q5XNQ9,3.1.3.8,Aspergillus fumigatus
O66932,2.4.1.1,Aquifex aeolicus
P28999,3.2.1.7,Kluyveromyces marxianus
S4UF58,2.6.1.27,Malassezia furfur
Q9YA66,unknown,Aeropyrum pernix
Q717I9,unknown,Trichomonas vaginalis
A1RX09,2.7.1.40,Thermofilum pendens
A4Y0Y8,unknown,Pseudomonas mendocina
G4RK44,unknown,Thermoproteus tenax
Q5JH57,3.1.-.-,Thermococcus kodakarensis
A5HMI1,unknown,Alcaligenes faecalis
Q9F3K4,unknown,Streptomyces coelicolor
Q9I6J9,3.5.3.12,Pseudomonas aeruginosa
Q0CBM7,3.1.1.73,Aspergillus terreus
Q9YGB0,4.2.1.20,Thermococcus kodakarensis
Q52500,unknown,Thermococcus kodakarensis
Q7N6U8,unknown,Photorhabdus laumondii subsp. laumondii
Q55FE6,3.2.1.91,Dictyostelium discoideum
Q9FAB1,unknown,Geobacillus thermoleovorans
A5LH21,3.5.2.6,Shigella sonnei
P74941,6.1.1.7,Thermus thermophilus
O65987,3.2.1.-,Clostridium cellulovorans
G0Y287,1.3.1.96,Botryococcus braunii
P39485,1.1.1.47,Priestia megaterium
Q9NL96,1.8.1.7,Physarum polycephalum
Q9RFV6,7.2.1.1,Vibrio campbellii
Q6UB73,unknown,Saprolegnia diclina
Q2FUA9,6.3.2.36,Methanospirillum hungatei JF-1
Q8U438,3.6.1.1,Pyrococcus furiosus
A4I213,6.3.1.1,Leishmania infantum
Q4J894,2.1.1.218,Sulfolobus acidocaldarius
Q4DMS3,unknown,Trypanosoma cruzi
Q68AP4,3.5.1.91,Arthrobacter pascens
Q8WSQ3,unknown,Physarum polycephalum
A9H275,4.1.1.1,Gluconacetobacter diazotrophicus
A0A0H2ZHZ0,1.8.1.4,Pseudomonas aeruginosa
B0FLN6,4.2.3.-,Streptomyces peucetius subsp. caesius ATCC 27952
Q8J0K6,3.2.1.-,Melanocarpus albomyces
Q5SBN1,2.4.1.5,Limosilactobacillus reuteri
Q8U144,3.2.2.27,Pyrococcus furiosus
E7FHX4,3.1.21.10,Pyrococcus furiosus
B2RLK2,3.4.22.47,Porphyromonas gingivalis
P26263,4.1.1.-,Saccharomyces cerevisiae
C7GP37,2.7.7.9,Saccharomyces cerevisiae
G2Q665,3.2.1.-,Thermothelomyces thermophilus
A0A073KHN9,1.6.5.-,Shewanella xiamenensis
P9WP79,unknown,Mycobacterium tuberculosis
Q6H8X7,unknown,Streptococcus suis
A6P7M9,3.1.4.12,Streptomyces griseocarneus
B7VFD0,3.1.1.-,Blastobotrys adeninivorans
C7G3B8,unknown,Acetobacter pasteurianus
A0A0N7E7X2,3.2.1.-,Aspergillus fischeri
Q57580,3.5.1.102,Methanocaldococcus jannaschii
Q0ZS18,unknown,Clostridium paradoxum
H8Y263,3.2.1.22,Rhizomucor miehei
A8F6K5,unknown,Pseudothermotoga lettingae
Q8PC55,2.7.7.6,Xanthomonas campestris pv. campestris
Q2I6W5,3.2.1.8,Paenibacillus campinasensis
Q59495,2.4.1.7,Leuconostoc mesenteroides
O67625,1.17.7.4,Aquifex aeolicus
E9BLE1,6.1.1.12,Leishmania donovani
Q8U1Z6,unknown,Pyrococcus furiosus
Q8EQR8,unknown,Oceanobacillus iheyensis
E7CY70,3.2.1.-,Bifidobacterium longum
O60199,1.10.3.2,Pleurotus ostreatus
A9P7F6,3.2.1.-,Bacillus thuringiensis subsp. san diego
A0A077AY47,3.3.2.1,Microbacterium hydrocarbonoxydans
P29853,3.2.1.23,Aspergillus niger
Q58010,6.2.1.13,Methanocaldococcus jannaschii
Q9A613,unknown,Caulobacter vibrioides
Q2URT3,unknown,Aspergillus oryzae
Q1K5M0,3.2.1.4,Neurospora crassa
P0ACV0,2.3.1.241,Escherichia coli
A4F2S6,1.1.1.39,Rhodopseudomonas palustris
Q9UZV2,unknown,Pyrococcus abyssi
Q8KTX1,3.1.1.81,Bacillus thuringiensis serovar canadensis
A5HIF6,1.1.1.100,Pseudomonas putida
I3RYX9,1.10.3.2,Bacillus pumilus
P14775,1.1.2.7,Methylorubrum extorquens
Q5JIZ3,2.5.1.128,Thermococcus kodakarensis
Q83V33,unknown,Pseudomonas fluorescens
P00808,3.5.2.6,Bacillus licheniformis
Q6BDD5,unknown,Coniophora puteana
A9ZM78,4.1.1.15,Levilactobacillus brevis
O29852,unknown,Archaeoglobus fulgidus
C4B644,1.14.15.15,Pseudonocardia autotrophica
A9YZW0,3.2.1.58,Trichoderma asperellum
P9WJJ7,2.4.2.19,Mycobacterium tuberculosis
S5ZIP8,3.5.2.6,Klebsiella pneumoniae subsp. pneumoniae
Q9S5E2,4.2.3.124,Niallia circulans
Q0VTC7,1.18.1.2,Alcanivorax borkumensis
Q8DT52,2.4.1.18,Streptococcus mutans serotype c
Q8U1G2,unknown,Pyrococcus furiosus
Q9RFN5,unknown,Rhizobium etli
M1GRN3,5.1.1.21,Lentilactobacillus buchneri
Q97YX6,3.1.21.10,Saccharolobus solfataricus
A2R4V5,unknown,Aspergillus niger
Q845T0,1.17.1.9,Ancylobacter aquaticus
P34210,3.4.23.-,Escherichia coli
P9WJJ5,2.7.7.18,Mycobacterium tuberculosis
A4YEG2,5.1.99.1,Metallosphaera sedula
A9CJL8,1.5.5.1,Agrobacterium fabrum
Q97DP6,3.2.1.-,Clostridium acetobutylicum
Q8DL82,unknown,Thermosynechococcus vestitus
Q7B8C5,3.1.1.81,Bacillus thuringiensis subsp. aizawai
D5KB61,unknown,Cupriavidus basilensis
Q9I4X3,6.2.1.32,Pseudomonas aeruginosa
Q9KQ52,3.5.1.18,Vibrio cholerae serotype O1
A8D7K2,4.2.3.152,Streptomyces albus
Q6F4N4,unknown,Microbulbifer thermotolerans
G4T023,2.7.1.4,Methylotuvimicrobium alcaliphilum
O57980,6.1.1.22,Pyrococcus horikoshii
